experiment_id,team,feature_category,base_rate,planned_mde,required_n_per_group,actual_n_per_group,sample_gap_ratio,adequately_sized
EXP-0001,Monetization,Content-Format,0.06,0.03,138539,9905,0.071,False
EXP-0002,Monetization,Pricing/Paywall,0.06,0.08,19924,14851,0.745,False
EXP-0003,Content-Algo,Notifications,0.4,0.05,4746,15825,3.334,True
EXP-0004,Growth,Recommendation-Algo,0.08,0.03,101658,3836,0.038,False
EXP-0005,Monetization,Onboarding-Flow,0.06,0.1,12864,31625,2.458,True
EXP-0006,Monetization,Notifications,0.04,0.1,19728,8739,0.443,False
EXP-0007,Growth,UI/UX,0.12,0.05,23516,8025,0.341,False
EXP-0008,Growth,Notifications,0.08,0.05,36922,35746,0.968,False
EXP-0009,Content-Algo,Recommendation-Algo,0.4,0.08,1862,7321,3.932,True
EXP-0010,Monetization,Content-Format,0.04,0.03,212299,28451,0.134,False
EXP-0011,Engagement,UI/UX,0.35,0.05,5896,35853,6.081,True
EXP-0012,Engagement,Onboarding-Flow,0.28,0.05,8194,8582,1.047,True
EXP-0013,Engagement,Notifications,0.35,0.08,2317,8313,3.588,True
EXP-0014,Content-Algo,Notifications,0.08,0.05,36922,15605,0.423,False
EXP-0015,Growth,Onboarding-Flow,0.12,0.08,9300,6288,0.676,False
EXP-0016,Monetization,UI/UX,0.015,0.08,83673,7501,0.09,False
EXP-0017,Engagement,Notifications,0.28,0.05,8194,2984,0.364,False
EXP-0018,Engagement,Pricing/Paywall,0.35,0.05,5896,31063,5.268,True
EXP-0019,Content-Algo,Onboarding-Flow,0.22,0.05,11328,8976,0.792,False
EXP-0020,Growth,UI/UX,0.08,0.05,36922,63010,1.707,True
EXP-0021,Engagement,Content-Format,0.28,0.08,3228,46342,14.356,True
EXP-0022,Growth,Notifications,0.03,0.03,286060,2924,0.01,False
EXP-0023,Content-Algo,Onboarding-Flow,0.22,0.05,11328,14809,1.307,True
EXP-0024,Monetization,Content-Format,0.015,0.05,211207,8733,0.041,False
EXP-0025,Content-Algo,Pricing/Paywall,0.08,0.08,14612,7866,0.538,False
EXP-0026,Engagement,UI/UX,0.35,0.08,2317,6338,2.735,True
EXP-0027,Engagement,UI/UX,0.28,0.08,3228,32807,10.163,True
EXP-0028,Monetization,Recommendation-Algo,0.04,0.05,77142,16026,0.208,False
EXP-0029,Content-Algo,Content-Format,0.22,0.05,11328,4312,0.381,False
EXP-0030,Engagement,UI/UX,0.28,0.03,22628,3021,0.134,False
EXP-0031,Monetization,Onboarding-Flow,0.06,0.03,138539,4230,0.031,False
EXP-0032,Monetization,Onboarding-Flow,0.06,0.08,19924,14491,0.727,False
EXP-0033,Content-Algo,UI/UX,0.08,0.05,36922,14050,0.381,False
EXP-0034,Growth,Content-Format,0.03,0.08,41174,8019,0.195,False
EXP-0035,Content-Algo,Onboarding-Flow,0.4,0.08,1862,46234,24.83,True
EXP-0036,Engagement,Content-Format,0.35,0.05,5896,15008,2.545,True
EXP-0037,Content-Algo,Content-Format,0.22,0.05,11328,14454,1.276,True
EXP-0038,Content-Algo,Notifications,0.22,0.05,11328,7089,0.626,False
EXP-0039,Growth,UI/UX,0.03,0.08,41174,6413,0.156,False
EXP-0040,Monetization,UI/UX,0.04,0.05,77142,8081,0.105,False
EXP-0041,Engagement,Notifications,0.35,0.03,16306,4526,0.278,False
EXP-0042,Engagement,Pricing/Paywall,0.35,0.1,1489,8006,5.377,True
EXP-0043,Content-Algo,Recommendation-Algo,0.22,0.1,2880,1983,0.689,False
EXP-0044,Monetization,Recommendation-Algo,0.06,0.05,50329,15113,0.3,False
EXP-0045,Content-Algo,Pricing/Paywall,0.4,0.08,1862,15037,8.076,True
EXP-0046,Growth,Pricing/Paywall,0.12,0.08,9300,6840,0.735,False
EXP-0047,Growth,Content-Format,0.12,0.05,23516,7732,0.329,False
EXP-0048,Content-Algo,Content-Format,0.08,0.08,14612,20738,1.419,True
EXP-0049,Engagement,Onboarding-Flow,0.45,0.1,966,16118,16.685,True
EXP-0050,Monetization,Recommendation-Algo,0.06,0.03,138539,8710,0.063,False
EXP-0051,Growth,Pricing/Paywall,0.03,0.03,286060,32259,0.113,False
EXP-0052,Growth,Notifications,0.08,0.1,9432,14216,1.507,True
EXP-0053,Growth,UI/UX,0.03,0.08,41174,32935,0.8,False
EXP-0054,Growth,Notifications,0.03,0.05,103955,16192,0.156,False
EXP-0055,Monetization,Content-Format,0.04,0.05,77142,14618,0.189,False
EXP-0056,Growth,Pricing/Paywall,0.03,0.1,26591,13924,0.524,False
EXP-0057,Growth,Recommendation-Algo,0.03,0.08,41174,27038,0.657,False
EXP-0058,Engagement,UI/UX,0.45,0.03,10686,10249,0.959,False
EXP-0059,Monetization,UI/UX,0.06,0.08,19924,60324,3.028,True
EXP-0060,Monetization,Notifications,0.015,0.08,83673,5285,0.063,False
EXP-0061,Content-Algo,Pricing/Paywall,0.22,0.05,11328,9350,0.825,False
EXP-0062,Content-Algo,Notifications,0.22,0.08,4470,16223,3.629,True
EXP-0063,Engagement,Content-Format,0.28,0.1,2077,8303,3.998,True
EXP-0064,Monetization,UI/UX,0.015,0.1,54047,29713,0.55,False
EXP-0065,Content-Algo,Notifications,0.08,0.08,14612,8240,0.564,False
EXP-0066,Growth,Content-Format,0.12,0.08,9300,3058,0.329,False
EXP-0067,Engagement,Content-Format,0.28,0.1,2077,29155,14.037,True
EXP-0068,Monetization,Pricing/Paywall,0.06,0.03,138539,15620,0.113,False
EXP-0069,Engagement,Onboarding-Flow,0.35,0.1,1489,54498,36.6,True
EXP-0070,Monetization,Pricing/Paywall,0.06,0.03,138539,28520,0.206,False
EXP-0071,Engagement,UI/UX,0.45,0.08,1508,5283,3.503,True
EXP-0072,Content-Algo,Recommendation-Algo,0.4,0.05,4746,4149,0.874,False
EXP-0073,Growth,UI/UX,0.03,0.08,41174,32708,0.794,False
EXP-0074,Monetization,Notifications,0.06,0.1,12864,8036,0.625,False
EXP-0075,Engagement,UI/UX,0.45,0.05,3853,14950,3.88,True
EXP-0076,Engagement,Recommendation-Algo,0.35,0.05,5896,8268,1.402,True
EXP-0077,Growth,Onboarding-Flow,0.03,0.03,286060,13909,0.049,False
EXP-0078,Growth,Content-Format,0.08,0.08,14612,1848,0.126,False
EXP-0079,Engagement,Onboarding-Flow,0.28,0.03,22628,8514,0.376,False
EXP-0080,Content-Algo,Content-Format,0.22,0.05,11328,8333,0.736,False
EXP-0081,Monetization,Onboarding-Flow,0.06,0.05,50329,15097,0.3,False
EXP-0082,Engagement,Content-Format,0.28,0.08,3228,7708,2.388,True
EXP-0083,Content-Algo,Content-Format,0.08,0.08,14612,1663,0.114,False
EXP-0084,Engagement,Pricing/Paywall,0.35,0.05,5896,8358,1.418,True
EXP-0085,Growth,Onboarding-Flow,0.12,0.05,23516,5869,0.25,False
EXP-0086,Growth,Recommendation-Algo,0.12,0.05,23516,27798,1.182,True
EXP-0087,Content-Algo,Notifications,0.08,0.05,36922,11929,0.323,False
EXP-0088,Content-Algo,Recommendation-Algo,0.08,0.05,36922,2859,0.077,False
EXP-0089,Growth,Content-Format,0.12,0.05,23516,30611,1.302,True
EXP-0090,Content-Algo,Recommendation-Algo,0.4,0.08,1862,2890,1.552,True
EXP-0091,Monetization,Content-Format,0.015,0.1,54047,7541,0.14,False
EXP-0092,Monetization,UI/UX,0.06,0.08,19924,8252,0.414,False
EXP-0093,Content-Algo,UI/UX,0.4,0.08,1862,7789,4.183,True
EXP-0094,Content-Algo,Content-Format,0.22,0.08,4470,2731,0.611,False
EXP-0095,Content-Algo,Onboarding-Flow,0.4,0.05,4746,3905,0.823,False
EXP-0096,Engagement,Content-Format,0.45,0.08,1508,8138,5.397,True
EXP-0097,Engagement,Recommendation-Algo,0.35,0.05,5896,7221,1.225,True
EXP-0098,Monetization,Recommendation-Algo,0.04,0.1,19728,58933,2.987,True
EXP-0099,Engagement,Notifications,0.45,0.05,3853,41280,10.714,True
EXP-0100,Monetization,UI/UX,0.04,0.05,77142,3512,0.046,False
